vacancy_name,vacancy_salary,min_salary,max_salary,currency_salary,vacancy_link,vacancy_source
Специалист по веб-аналитике (Web Analyst),,,,,https://spb.hh.ru/vacancy/54150588?from=vacancy_search_list&query=Data+Analyst,hh.ru
Big data analyst,,,,,https://spb.hh.ru/vacancy/76829697?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data Analyst (Middle/Senior),150 000 – 290 000 руб.,150000.0,290000.0,руб.,https://spb.hh.ru/vacancy/73500441?from=vacancy_search_list&query=Data+Analyst,hh.ru
ML engineer/Data engineer,,,,,https://spb.hh.ru/vacancy/72373055?from=vacancy_search_list&query=Data+Analyst,hh.ru
TeamLead Data Analyst в Отдел контентной аналитики,,,,,https://spb.hh.ru/vacancy/73345007?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data Analyst,,,,,https://spb.hh.ru/vacancy/76777464?from=vacancy_search_list&query=Data+Analyst,hh.ru
TeamLead Analyst,,,,,https://spb.hh.ru/vacancy/72226174?from=vacancy_search_list&query=Data+Analyst,hh.ru
"Аналитик - cпециалист (Analyst/поисковый аналитик), удаленно",700 – 950 USD,700.0,950.0,USD,https://spb.hh.ru/vacancy/76699980?from=vacancy_search_list&query=Data+Analyst,hh.ru
Главный аналитик данных,,,,,https://spb.hh.ru/vacancy/73801378?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data инженер,,,,,https://spb.hh.ru/vacancy/73828825?from=vacancy_search_list&query=Data+Analyst,hh.ru
RMG analyst,,,,,https://spb.hh.ru/vacancy/76711821?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data Analyst,,,,,https://spb.hh.ru/vacancy/76679320?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data Analytics (Аналитик данных),от 100 000 руб.,100000.0,,руб.,https://spb.hh.ru/vacancy/76593986?from=vacancy_search_list&query=Data+Analyst,hh.ru
Senior system analyst,от 200 000 руб.,200000.0,,руб.,https://spb.hh.ru/vacancy/76006895?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data Analyst / Business Analyst (Пассивы),,,,,https://spb.hh.ru/vacancy/75985267?from=vacancy_search_list&query=Data+Analyst,hh.ru
Аналитик/BI аналитик (Tableau),75 000 – 150 000 руб.,75000.0,150000.0,руб.,https://spb.hh.ru/vacancy/76418611?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data Scientist Middle/Senior,,,,,https://spb.hh.ru/vacancy/75722197?from=vacancy_search_list&query=Data+Analyst,hh.ru
Middle Data scientist / Аналитик (Нижний Новгород),100 000 – 150 000 руб.,100000.0,150000.0,руб.,https://spb.hh.ru/vacancy/75827761?from=vacancy_search_list&query=Data+Analyst,hh.ru
"Аналитик - cпециалист (Analyst/поисковый аналитик, удаленно)",700 – 950 USD,700.0,950.0,USD,https://spb.hh.ru/vacancy/76699981?from=vacancy_search_list&query=Data+Analyst,hh.ru
"Senior Data Analyst (""Рекомендации"")",,,,,https://spb.hh.ru/vacancy/75780876?from=vacancy_search_list&query=Data+Analyst,hh.ru
Аналитик данных / Data Scientist (Middle),140 000 – 200 000 руб.,140000.0,200000.0,руб.,https://spb.hh.ru/vacancy/69947221?from=vacancy_search_list&query=Data+Analyst,hh.ru
Бизнес-аналитик (по разработке ПО),,,,,https://spb.hh.ru/vacancy/71214153?from=vacancy_search_list&query=Data+Analyst,hh.ru
Product Researcher / Finance Analyst,1 000 – 1 300 USD,1000.0,1300.0,USD,https://spb.hh.ru/vacancy/76756504?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data Analyst,от 4 000 USD,4000.0,,USD,https://spb.hh.ru/vacancy/76081597?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data science,,,,,https://spb.hh.ru/vacancy/76644445?from=vacancy_search_list&query=Data+Analyst,hh.ru
TeamLead Data Analyst в Отдел контентной аналитики,,,,,https://spb.hh.ru/vacancy/73345027?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data scientist/Analyst (Middle+/Senior) - Руководитель отдела аналитики,250 000 – 400 000 руб.,250000.0,400000.0,руб.,https://spb.hh.ru/vacancy/73139848?from=vacancy_search_list&query=Data+Analyst,hh.ru
Продуктовый аналитик / Автор на курс по продуктовой аналитике,,,,,https://spb.hh.ru/vacancy/76985901?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data Analyst / Дата-аналитик,,,,,https://spb.hh.ru/vacancy/76163456?from=vacancy_search_list&query=Data+Analyst,hh.ru
Младший аналитик,,,,,https://spb.hh.ru/vacancy/75522106?from=vacancy_search_list&query=Data+Analyst,hh.ru
Senior Product Analyst,,,,,https://spb.hh.ru/vacancy/76979035?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data Analyst (Partner`s sales),от 150 000 руб.,150000.0,,руб.,https://spb.hh.ru/vacancy/76217954?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data Analyst | Lead data analyst [CJ Monitoring & Discovery],,,,,https://spb.hh.ru/vacancy/76509317?from=vacancy_search_list&query=Data+Analyst,hh.ru
"Senior Data Analyst (""Рекомендации"")",,,,,https://spb.hh.ru/vacancy/75784035?from=vacancy_search_list&query=Data+Analyst,hh.ru
"Senior Data Analyst (The Czech Republic, Prague)",до 3 500 EUR,,3500.0,EUR,https://spb.hh.ru/vacancy/76564591?from=vacancy_search_list&query=Data+Analyst,hh.ru
Media Insights analyst / Специалист по анализу данных о потребителе в медиа,,,,,https://spb.hh.ru/vacancy/76507412?from=vacancy_search_list&query=Data+Analyst,hh.ru
Analyst Gross-To-Net,,,,,https://spb.hh.ru/vacancy/76049575?from=vacancy_search_list&query=Data+Analyst,hh.ru
Аналитик BI (отчетность DWH),,,,,https://spb.hh.ru/vacancy/76363324?from=vacancy_search_list&query=Data+Analyst,hh.ru
Дата-аналитик / Data Analyst,,,,,https://spb.hh.ru/vacancy/68073408?from=vacancy_search_list&query=Data+Analyst,hh.ru
"Data Analyst (Кипр, Лимассол)",,,,,https://spb.hh.ru/vacancy/76484958?from=vacancy_search_list&query=Data+Analyst,hh.ru
Power BI Analyst,,,,,https://spb.hh.ru/vacancy/76258247?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data-аналитик,,,,,https://spb.hh.ru/vacancy/76564608?from=vacancy_search_list&query=Data+Analyst,hh.ru
Middle Data аналитик (Middle Data Analyst),,,,,https://spb.hh.ru/vacancy/76367838?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data Engineer/Инженер данных,75 000 – 150 000 руб.,75000.0,150000.0,руб.,https://spb.hh.ru/vacancy/76418617?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data engineer,,,,,https://spb.hh.ru/vacancy/76453654?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data analyst,,,,,https://spb.hh.ru/vacancy/74079808?from=vacancy_search_list&query=Data+Analyst,hh.ru
Аналитик BigData (Middle),,,,,https://spb.hh.ru/vacancy/76736303?from=vacancy_search_list&query=Data+Analyst,hh.ru
Lead Data Analyst (Ташкент),,,,,https://spb.hh.ru/vacancy/76269193?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data Analyst,,,,,https://spb.hh.ru/vacancy/73730064?from=vacancy_search_list&query=Data+Analyst,hh.ru
Senior Data Analyst в команду Core.Klieber.A/B,,,,,https://spb.hh.ru/vacancy/76443009?from=vacancy_search_list&query=Data+Analyst,hh.ru
"Аналитик данных (data analyst) - CRM, CDP платформа",,,,,https://spb.hh.ru/vacancy/74089887?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data инженер,,,,,https://spb.hh.ru/vacancy/76655674?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data Analyst,,,,,https://spb.hh.ru/vacancy/74400715?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data Quality Analyst,,,,,https://spb.hh.ru/vacancy/76560882?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data Scientist,,,,,https://spb.hh.ru/vacancy/76155408?from=vacancy_search_list&query=Data+Analyst,hh.ru
Количественный аналитик,,,,,https://spb.hh.ru/vacancy/76663081?from=vacancy_search_list&query=Data+Analyst,hh.ru
"Data Analyst (ad hoc, BI, PowerPoint)",,,,,https://spb.hh.ru/vacancy/76116562?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data scientist,,,,,https://spb.hh.ru/vacancy/73139690?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data Scientist (middle/senior),до 400 000 руб.,,400000.0,руб.,https://spb.hh.ru/vacancy/70163749?from=vacancy_search_list&query=Data+Analyst,hh.ru
Аналитик - Разработчик Data Science,,,,,https://spb.hh.ru/vacancy/74059409?from=vacancy_search_list&query=Data+Analyst,hh.ru
"Accounting & External Reporting Analyst, Indirect Tax",,,,,https://spb.hh.ru/vacancy/76770076?from=vacancy_search_list&query=Data+Analyst,hh.ru
Аналитик на Power BI (удаленно),,,,,https://spb.hh.ru/vacancy/76507052?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data инженер,,,,,https://spb.hh.ru/vacancy/76450238?from=vacancy_search_list&query=Data+Analyst,hh.ru
Middle/Senior Data Analyst в команду AI SmartCare,,,,,https://spb.hh.ru/vacancy/76238683?from=vacancy_search_list&query=Data+Analyst,hh.ru
Продуктовый аналитик (IGaming),до 4 000 USD,,4000.0,USD,https://spb.hh.ru/vacancy/76469283?from=vacancy_search_list&query=Data+Analyst,hh.ru
Системный аналитик Big data,,,,,https://spb.hh.ru/vacancy/73912002?from=vacancy_search_list&query=Data+Analyst,hh.ru
Junior Supply Analyst,,,,,https://spb.hh.ru/vacancy/74187393?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data Steward Intern,до 3 800 USD,,3800.0,USD,https://spb.hh.ru/vacancy/76289755?from=vacancy_search_list&query=Data+Analyst,hh.ru
Senior data analyst (Team lead),,,,,https://spb.hh.ru/vacancy/76292311?from=vacancy_search_list&query=Data+Analyst,hh.ru
Senior system analyst (Brokerage),250 000 – 400 000 руб.,250000.0,400000.0,руб.,https://spb.hh.ru/vacancy/76145317?from=vacancy_search_list&query=Data+Analyst,hh.ru
Бизнес-аналитик отдела управления качеством сервиса,,,,,https://spb.hh.ru/vacancy/76201661?from=vacancy_search_list&query=Data+Analyst,hh.ru
Младший веб аналитик,60 000 – 100 000 руб.,60000.0,100000.0,руб.,https://spb.hh.ru/vacancy/76147239?from=vacancy_search_list&query=Data+Analyst,hh.ru
